                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5844,                 3.4967,                 1.6658,                0.02276,                0.69542,                0.28109,                0.17273,                 1.1233,                  4.045,                 1.4329,             0.00036059,             0.00036059,             0.00036059
                      2,                 1.3089,                 2.2347,                 1.3838,                0.92316,                0.33226,                0.75068,                0.44423,                 1.2771,                  3.353,                  1.544,             0.00072127,             0.00072127,             0.00072127
                      3,                 1.2502,                 1.8529,                 1.3621,                0.86379,                0.74856,                0.88521,                0.59804,                 1.1744,                 2.2189,                   1.42,              0.0010722,              0.0010722,              0.0010722
                      4,                 1.2468,                 1.6826,                 1.3425,                 0.7583,                0.80441,                0.86337,                0.60405,                 1.0709,                 1.9377,                 1.3531,               0.001067,               0.001067,               0.001067
                      5,                 1.2091,                 1.5334,                  1.328,                0.73379,                0.88874,                0.91539,                0.56526,                 1.2406,                 1.8818,                 1.4998,               0.001067,               0.001067,               0.001067
                      6,                 1.2427,                 1.4154,                 1.3257,                0.75185,                0.83844,                0.87755,                0.55147,                 1.2282,                 1.7783,                 1.4744,              0.0010523,              0.0010523,              0.0010523
                      7,                 1.2116,                 1.3908,                 1.3128,                0.86095,                0.81416,                0.90932,                0.60389,                 1.1487,                 1.5298,                  1.413,              0.0010377,              0.0010377,              0.0010377
                      8,                 1.1446,                 1.2313,                 1.2719,                0.90791,                0.91559,                0.95284,                0.67242,                 1.0465,                 1.2677,                 1.3192,               0.001023,               0.001023,               0.001023
                      9,                 1.1505,                 1.1983,                 1.2838,                 0.9285,                0.94834,                0.94037,                 0.6622,                 1.0294,                 1.0041,                 1.3054,              0.0010083,              0.0010083,              0.0010083
                     10,                 1.1391,                 1.0731,                 1.2651,                0.90906,                0.91909,                 0.9461,                0.66974,                 1.0189,                 1.0345,                 1.3406,             0.00099368,             0.00099368,             0.00099368
                     11,                 1.0797,                 1.0381,                 1.2343,                0.89051,                0.89855,                0.91375,                0.65713,                 1.0324,                 1.0577,                 1.2978,             0.00097901,             0.00097901,             0.00097901
                     12,                 1.0417,                0.94102,                 1.1967,                0.94531,                0.96173,                0.94805,                0.68978,                  1.014,                0.87343,                 1.2862,             0.00096435,             0.00096435,             0.00096435
