                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8287,                0.55366,                 1.0582,                0.98602,                      1,                0.99455,                0.78687,                0.83299,                 0.4635,                 1.1396,             0.00094085,             0.00094085,             0.00094085
                     36,                0.81076,                0.54215,                 1.0496,                0.98419,                0.97653,                0.98611,                 0.7867,                 0.7936,                0.45618,                 1.1323,             0.00091885,             0.00091885,             0.00091885
                     37,                0.78051,                0.50335,                 1.0201,                0.96967,                0.98486,                0.99255,                0.78798,                0.80742,                0.49257,                 1.1432,             0.00089685,             0.00089685,             0.00089685
                     38,                0.83453,                0.54287,                 1.0613,                0.97636,                0.98594,                 0.9878,                0.77243,                0.84735,                0.49769,                 1.1662,             0.00087484,             0.00087484,             0.00087484
                     39,                0.80581,                0.53736,                  1.051,                0.97583,                0.98492,                0.98175,                0.76367,                 0.8654,                0.51091,                 1.1761,             0.00085284,             0.00085284,             0.00085284
                     40,                0.75675,                0.49769,                 1.0201,                0.97774,                0.99096,                0.98921,                0.77393,                0.86387,                0.48209,                 1.1672,             0.00083083,             0.00083083,             0.00083083
                     41,                 0.8021,                0.49685,                  1.046,                0.96456,                0.99805,                0.98981,                0.77682,                0.84081,                0.45333,                 1.1371,             0.00080883,             0.00080883,             0.00080883
                     42,                0.81147,                0.50548,                 1.0627,                0.98605,                0.98837,                0.98994,                0.79053,                0.82884,                0.46984,                 1.1295,             0.00078682,             0.00078682,             0.00078682
                     43,                 0.7753,                0.49763,                 1.0249,                0.96734,                0.98569,                0.98903,                0.78065,                0.81918,                0.45928,                 1.1195,             0.00076482,             0.00076482,             0.00076482
                     44,                0.80451,                 0.4881,                  1.081,                0.97236,                0.99743,                0.98331,                0.76265,                0.86681,                 0.4449,                 1.1727,             0.00074282,             0.00074282,             0.00074282
                     45,                0.78754,                 0.4748,                 1.0303,                0.96777,                0.99905,                0.98371,                0.77895,                0.79761,                0.45102,                 1.1326,             0.00072081,             0.00072081,             0.00072081
                     46,                  0.736,                0.46411,                 1.0059,                0.97435,                0.98837,                0.97631,                0.76725,                0.82276,                0.43824,                 1.1238,             0.00069881,             0.00069881,             0.00069881
                     47,                0.77872,                0.49287,                 1.0472,                 0.9617,                0.97674,                0.97624,                0.76819,                0.87205,                0.43401,                 1.1778,              0.0006768,              0.0006768,              0.0006768
                     48,                0.76523,                0.47949,                 1.0338,                0.96851,                0.99868,                0.99125,                0.78871,                0.82152,                0.42462,                 1.1293,              0.0006548,              0.0006548,              0.0006548
                     49,                  0.769,                0.46803,                 1.0225,                0.97456,                0.99917,                0.99135,                0.78731,                 0.8275,                0.41868,                 1.1432,             0.00063279,             0.00063279,             0.00063279
                     50,                0.74992,                0.46977,                 1.0149,                0.98561,                0.97559,                 0.9908,                0.77165,                0.82559,                 0.4418,                 1.1513,             0.00061079,             0.00061079,             0.00061079
                     51,                 0.7249,                0.44884,                 0.9789,                0.97443,                      1,                0.99188,                 0.7764,                0.80643,                0.44918,                 1.1236,             0.00058878,             0.00058878,             0.00058878
                     52,                0.75375,                0.45313,                 1.0069,                 0.9848,                0.97604,                0.99249,                0.79418,                0.76535,                0.42914,                 1.1033,             0.00056678,             0.00056678,             0.00056678
                     53,                0.69812,                0.44108,                0.98384,                0.96166,                0.99884,                0.98946,                0.78765,                0.78188,                0.42123,                   1.11,             0.00054478,             0.00054478,             0.00054478
