                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2731,                 3.6246,                 1.3507,                0.00333,                      1,                0.27769,                0.13663,                0.67505,                 3.6171,                0.97804,                0.00018,                0.00018,                0.00018
                      2,                0.98633,                 2.0843,                 1.1574,                0.00333,                      1,                0.61768,                0.40193,                0.67195,                 3.3036,                0.94568,             0.00037498,             0.00037498,             0.00037498
                      3,                 1.0263,                 1.7105,                 1.1615,                0.00333,                      1,                0.32006,                0.17176,                0.67608,                 3.2258,                0.93201,             0.00056469,             0.00056469,             0.00056469
                      4,                0.91494,                 1.6355,                 1.0753,                0.00333,                      1,                0.79659,                0.54245,                0.81591,                 3.1908,                  1.028,             0.00074911,             0.00074911,             0.00074911
                      5,                0.91696,                 1.4765,                 1.1245,                0.00333,                      1,                0.84333,                0.61393,                0.86891,                 3.1816,                 1.1167,             0.00092826,             0.00092826,             0.00092826
                      6,                0.93101,                 1.3673,                 1.0849,                      1,                0.31676,                 0.7898,                0.60139,                0.77819,                 2.7345,                 1.0711,              0.0011021,              0.0011021,              0.0011021
                      7,                0.87794,                 1.2666,                 1.0247,                0.67276,                0.66944,                0.76858,                0.55581,                0.94784,                 2.5956,                 1.2067,              0.0012707,              0.0012707,              0.0012707
                      8,                 0.9925,                 1.2908,                  1.145,                      1,                 0.6136,                0.96479,                0.71976,                0.88421,                  2.407,                 1.1536,               0.001434,               0.001434,               0.001434
                      9,                0.89774,                 1.1759,                 1.0477,                      1,                0.55843,                0.87534,                0.66351,                0.97194,                 2.6077,                  1.197,               0.001592,               0.001592,               0.001592
                     10,                0.90257,                 1.1402,                 1.0723,                0.94158,                0.90698,                0.94825,                 0.7274,                0.86835,                  1.645,                 1.1836,              0.0017448,              0.0017448,              0.0017448
                     11,                0.89418,                 1.0828,                 1.0672,                0.97057,                0.93023,                0.97548,                0.74365,                0.83165,                 1.5855,                 1.0778,               0.001736,               0.001736,               0.001736
                     12,                0.88956,                  1.051,                 1.0525,                0.97674,                0.97647,                0.97937,                0.74967,                0.79426,                 1.2003,                 1.1083,               0.001736,               0.001736,               0.001736
                     13,                0.88428,                 1.0211,                 1.0527,                0.94974,                0.95349,                0.97283,                0.79972,                0.70119,                 1.0919,                 1.0857,              0.0017096,              0.0017096,              0.0017096
                     14,                0.85663,                0.97711,                 1.0413,                0.93207,                0.86047,                0.92709,                0.73669,                0.77193,                 1.0686,                 1.0591,              0.0016832,              0.0016832,              0.0016832
                     15,                0.80309,                0.88148,                 1.0073,                0.92983,                 0.9246,                0.96104,                0.78677,                 0.6713,                0.97894,                0.99543,              0.0016568,              0.0016568,              0.0016568
                     16,                  0.852,                0.92771,                 1.0709,                0.93316,                0.97408,                0.97788,                0.76733,                0.73379,                0.90071,                 1.0523,              0.0016304,              0.0016304,              0.0016304
                     17,                0.80053,                0.89166,                 1.0478,                0.97609,                0.94929,                0.98611,                0.76657,                0.73689,                0.95696,                 1.0862,               0.001604,               0.001604,               0.001604
                     18,                0.84305,                0.81486,                 1.0614,                0.95881,                0.95349,                0.98793,                0.77778,                0.71527,                0.94072,                 1.0351,              0.0015776,              0.0015776,              0.0015776
                     19,                0.71237,                 0.7843,                0.97892,                0.95552,                0.99926,                0.99322,                0.78644,                 0.7237,                0.88128,                 1.0821,              0.0015512,              0.0015512,              0.0015512
                     20,                0.78524,                0.79168,                 1.0031,                      1,                0.99136,                  0.995,                0.78802,                0.75903,                0.79712,                 1.1507,              0.0015248,              0.0015248,              0.0015248
                     21,                0.78999,                0.78162,                 1.0345,                0.97326,                0.97674,                0.99283,                0.80666,                0.74541,                0.79436,                 1.1515,              0.0014984,              0.0014984,              0.0014984
                     22,                0.71908,                0.69615,                0.98394,                0.97667,                0.97361,                0.99076,                0.83221,                0.63641,                0.69709,                 1.0462,               0.001472,               0.001472,               0.001472
                     23,                0.78557,                0.72555,                 1.0249,                      1,                0.97659,                 0.9937,                 0.8289,                0.68909,                0.68866,                 1.0364,              0.0014456,              0.0014456,              0.0014456
                     24,                0.79143,                0.75662,                 1.0243,                0.99732,                      1,                  0.995,                  0.822,                0.67923,                0.62705,                 1.0326,              0.0014192,              0.0014192,              0.0014192
                     25,                0.74928,                0.70807,                 1.0163,                 0.9961,                      1,                  0.995,                0.83576,                 0.6357,                0.57502,                 1.0161,              0.0013928,              0.0013928,              0.0013928
                     26,                0.72623,                  0.674,                0.96827,                0.99835,                0.95349,                0.95561,                0.80782,                0.59295,                0.67593,                0.96371,              0.0013664,              0.0013664,              0.0013664
                     27,                0.69582,                0.65637,                0.98724,                0.95449,                0.97561,                0.98781,                0.84535,                0.57136,                0.62759,                0.92769,                0.00134,                0.00134,                0.00134
                     28,                0.72449,                0.62522,                 1.0062,                0.93477,                0.99986,                0.99188,                0.83279,                0.67651,                0.73918,                 1.0028,              0.0013136,              0.0013136,              0.0013136
                     29,                0.74433,                0.65498,                0.99717,                0.95537,                0.99567,                 0.9916,                0.84329,                0.55483,                0.75359,                0.91315,              0.0012872,              0.0012872,              0.0012872
                     30,                0.68898,                0.58935,                0.97677,                0.95187,                      1,                 0.9878,                0.83898,                0.63264,                0.58685,                  1.009,              0.0012608,              0.0012608,              0.0012608
                     31,                0.65281,                0.56629,                0.95965,                 0.9553,                  0.994,                0.98302,                0.80943,                0.66842,                 0.5682,                 1.0888,              0.0012344,              0.0012344,              0.0012344
                     32,                0.63928,                0.54025,                 0.9323,                0.93223,                      1,                0.97326,                 0.8354,                0.58395,                 0.5768,                0.95682,               0.001208,               0.001208,               0.001208
                     33,                0.65358,                0.54621,                0.96845,                0.95277,                      1,                0.98422,                0.84896,                0.57747,                0.53112,                0.95216,              0.0011816,              0.0011816,              0.0011816
                     34,                0.66958,                0.54862,                0.98698,                0.95271,                      1,                0.99318,                0.86744,                 0.5803,                0.49548,                0.94712,              0.0011552,              0.0011552,              0.0011552
                     35,                0.67864,                0.56401,                0.97194,                 0.9532,                      1,                0.99318,                0.85897,                 0.6009,                0.46574,                0.96885,              0.0011288,              0.0011288,              0.0011288
                     36,                0.69157,                0.56901,                0.98625,                0.95376,                      1,                0.98923,                0.84606,                0.57399,                0.47718,                0.96195,              0.0011024,              0.0011024,              0.0011024
                     37,                0.66374,                0.51517,                0.94241,                0.95368,                      1,                0.99039,                0.86309,                0.55827,                0.46757,                0.96268,               0.001076,               0.001076,               0.001076
                     38,                0.64377,                0.49052,                0.94285,                0.97422,                      1,                 0.9925,                0.84623,                0.60539,                  0.463,                 1.0064,              0.0010496,              0.0010496,              0.0010496
                     39,                0.64433,                0.51162,                0.95256,                0.97673,                      1,                0.99364,                0.86376,                0.59004,                0.43953,                 1.0477,              0.0010232,              0.0010232,              0.0010232
                     40,                0.66423,                0.52957,                0.97857,                0.95363,                      1,                0.99039,                0.85917,                0.57781,                0.45758,                0.98587,              0.0009968,              0.0009968,              0.0009968
                     41,                0.61567,                 0.4898,                 0.9481,                0.95406,                      1,                0.99108,                0.85961,                0.53978,                0.42621,                0.95342,              0.0009704,              0.0009704,              0.0009704
                     42,                0.56219,                0.47946,                0.90673,                0.95412,                      1,                0.99248,                0.84963,                  0.558,                0.45905,                0.94687,               0.000944,               0.000944,               0.000944
                     43,                 0.5897,                0.47999,                0.94466,                0.95451,                      1,                0.99248,                 0.8453,                0.55286,                0.44655,                0.93756,              0.0009176,              0.0009176,              0.0009176
                     44,                 0.6091,                0.48673,                0.93077,                0.95402,                      1,                 0.9887,                0.86008,                0.53292,                0.43048,                0.93846,              0.0008912,              0.0008912,              0.0008912
                     45,                0.59635,                0.46265,                0.93046,                 0.9542,                      1,                0.99202,                0.85845,                0.55893,                0.42822,                0.95675,              0.0008648,              0.0008648,              0.0008648
                     46,                0.59262,                0.46342,                0.91959,                0.97723,                0.99826,                0.99409,                0.86597,                0.55863,                 0.4298,                0.95356,              0.0008384,              0.0008384,              0.0008384
                     47,                0.64131,                0.51651,                0.98976,                0.97648,                      1,                  0.995,                0.87535,                0.54836,                0.40685,                0.93804,               0.000812,               0.000812,               0.000812
                     48,                0.59248,                0.45203,                0.95568,                0.97426,                      1,                0.99409,                0.86595,                0.52569,                0.38501,                0.91865,              0.0007856,              0.0007856,              0.0007856
                     49,                0.55097,                0.42147,                0.93781,                0.97275,                      1,                0.99409,                0.87746,                0.54468,                0.38713,                0.92762,              0.0007592,              0.0007592,              0.0007592
                     50,                0.60683,                0.48827,                0.96599,                0.94949,                0.97674,                0.98834,                0.89128,                0.49603,                0.37277,                0.91136,              0.0007328,              0.0007328,              0.0007328
