                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5692,                 3.8063,                 1.6662,                0.00729,                0.95555,                0.30348,                0.17008,                 1.1699,                 4.1173,                 1.4862,             0.00027346,             0.00027346,             0.00027346
                      2,                  1.369,                 2.6741,                 1.4826,                0.59301,                0.44199,                0.52259,                0.32353,                 1.2741,                 3.4247,                 1.4967,             0.00054385,             0.00054385,             0.00054385
                      3,                 1.3069,                 2.3475,                 1.4534,                0.55047,                0.71767,                0.71197,                0.44961,                 1.3064,                 2.7875,                 1.6099,             0.00080691,             0.00080691,             0.00080691
                      4,                 1.2891,                 2.0901,                 1.4316,                0.69082,                0.62064,                0.70949,                0.45661,                 1.3003,                  2.566,                 1.5978,             0.00080001,             0.00080001,             0.00080001
                      5,                  1.288,                 1.8334,                  1.414,                0.77085,                0.72864,                0.83349,                0.49495,                 1.4455,                 2.1206,                 1.6873,             0.00080001,             0.00080001,             0.00080001
                      6,                 1.2224,                 1.6268,                 1.3623,                0.84613,                0.73562,                0.87269,                0.58489,                  1.177,                 1.8097,                 1.4858,             0.00078902,             0.00078902,             0.00078902
                      7,                 1.2306,                 1.5039,                 1.3455,                0.86555,                0.88055,                0.93673,                0.65709,                 1.0959,                 1.3187,                 1.3988,             0.00077802,             0.00077802,             0.00077802
                      8,                 1.2112,                 1.4344,                 1.3549,                0.88992,                0.86114,                0.95305,                0.68689,                 1.0755,                 1.1906,                  1.434,             0.00076703,             0.00076703,             0.00076703
                      9,                 1.1682,                 1.2751,                 1.3299,                0.76004,                0.82856,                0.90448,                0.62667,                 1.1105,                 1.3396,                 1.4359,             0.00075603,             0.00075603,             0.00075603
                     10,                 1.1695,                 1.2884,                 1.3334,                0.87741,                0.88301,                0.92289,                0.66613,                  1.053,                 1.1344,                 1.3699,             0.00074504,             0.00074504,             0.00074504
                     11,                 1.1426,                 1.1871,                 1.3126,                0.93182,                0.91751,                 0.9624,                 0.6941,                 1.0321,                0.98501,                 1.3684,             0.00073404,             0.00073404,             0.00073404
                     12,                 1.1413,                  1.076,                 1.3083,                0.92965,                0.92608,                 0.9648,                0.70176,                0.98767,                0.93672,                  1.359,             0.00072304,             0.00072304,             0.00072304
                     13,                 1.1033,                 1.0605,                 1.2848,                  0.878,                0.87355,                0.96768,                0.70444,                 1.0089,                0.97946,                 1.3443,             0.00071205,             0.00071205,             0.00071205
                     14,                 1.1028,                 1.0355,                 1.2841,                 0.9314,                0.95993,                0.96984,                0.72497,                0.97328,                0.80245,                 1.3151,             0.00070105,             0.00070105,             0.00070105
                     15,                 1.0994,                 0.9986,                 1.2895,                0.95395,                0.97246,                0.98095,                0.69493,                 1.0551,                0.81763,                 1.3656,             0.00069006,             0.00069006,             0.00069006
                     16,                 1.0721,                0.93765,                 1.2676,                0.95155,                0.95336,                  0.975,                0.72156,                0.98024,                0.75632,                 1.3248,             0.00067906,             0.00067906,             0.00067906
                     17,                 1.0754,                0.95513,                 1.2724,                0.96165,                0.95643,                0.98037,                0.73961,                0.95539,                0.72779,                 1.2966,             0.00066807,             0.00066807,             0.00066807
                     18,                 1.0529,                0.90902,                 1.2751,                0.92812,                0.94371,                0.96631,                0.70881,                 1.0288,                0.75758,                  1.336,             0.00065707,             0.00065707,             0.00065707
                     19,                 1.0494,                0.86322,                 1.2578,                 0.9697,                0.95602,                0.97644,                0.72946,                0.97936,                0.69176,                 1.3027,             0.00064607,             0.00064607,             0.00064607
                     20,                 1.0321,                0.83979,                 1.2432,                0.96757,                0.96939,                0.97889,                0.72823,                0.97694,                0.69282,                 1.3041,             0.00063508,             0.00063508,             0.00063508
                     21,                 1.0203,                0.82504,                 1.2345,                0.96681,                0.95293,                0.97787,                0.73089,                0.96504,                0.67776,                  1.288,             0.00062408,             0.00062408,             0.00062408
                     22,                   1.04,                0.82847,                 1.2442,                0.97905,                 0.9648,                0.98219,                0.73466,                0.98896,                0.61468,                 1.3199,             0.00061309,             0.00061309,             0.00061309
                     23,                0.99717,                0.77964,                 1.2125,                0.96296,                0.97192,                0.97109,                0.73161,                 0.9729,                0.64535,                 1.3227,             0.00060209,             0.00060209,             0.00060209
                     24,                 1.0179,                0.78709,                 1.2285,                0.97568,                0.97063,                0.97853,                0.73967,                0.96505,                 0.5938,                 1.3048,              0.0005911,              0.0005911,              0.0005911
                     25,                 1.0032,                0.77473,                 1.2138,                0.97274,                 0.9701,                0.97456,                0.73128,                0.99923,                0.62884,                 1.3246,              0.0005801,              0.0005801,              0.0005801
                     26,                0.99441,                0.76074,                 1.2192,                  0.953,                0.96528,                0.97613,                0.74288,                0.95662,                 0.6064,                 1.2877,             0.00056911,             0.00056911,             0.00056911
                     27,                 1.0028,                0.74144,                 1.2285,                0.94875,                0.96692,                0.97536,                0.73393,                0.94221,                0.58389,                 1.2833,             0.00055811,             0.00055811,             0.00055811
                     28,                0.98439,                0.74454,                 1.2037,                0.97347,                0.96768,                0.98194,                0.75192,                0.94303,                0.56982,                  1.285,             0.00054711,             0.00054711,             0.00054711
                     29,                  0.996,                0.72225,                 1.2138,                0.97802,                0.98418,                0.98173,                0.74291,                0.95403,                0.58394,                 1.2756,             0.00053612,             0.00053612,             0.00053612
                     30,                0.97558,                0.73027,                 1.2111,                 0.9632,                0.97327,                0.98505,                0.74358,                0.96075,                0.55732,                  1.285,             0.00052512,             0.00052512,             0.00052512
                     31,                0.93902,                0.70418,                 1.1836,                0.97879,                 0.9691,                0.97428,                0.73885,                0.96937,                0.56516,                 1.3175,             0.00051413,             0.00051413,             0.00051413
                     32,                0.97466,                0.70127,                 1.1952,                0.98161,                0.97553,                0.97987,                0.74576,                0.93633,                0.54282,                 1.2837,             0.00050313,             0.00050313,             0.00050313
                     33,                 0.9789,                0.72052,                 1.2127,                0.98041,                0.97738,                0.97687,                0.75506,                0.91542,                0.50527,                  1.275,             0.00049214,             0.00049214,             0.00049214
                     34,                0.96344,                0.69492,                 1.2085,                0.96521,                0.97124,                0.97917,                0.75694,                0.92932,                0.51636,                 1.2799,             0.00048114,             0.00048114,             0.00048114
                     35,                0.95038,                0.65688,                 1.1901,                0.97715,                0.98058,                0.98321,                0.77179,                0.89878,                 0.5046,                  1.256,             0.00047015,             0.00047015,             0.00047015
                     36,                0.95131,                0.64638,                 1.1929,                0.97369,                0.98304,                0.98103,                0.76013,                0.91215,                0.50043,                 1.2761,             0.00045915,             0.00045915,             0.00045915
                     37,                 0.9187,                0.65378,                 1.1813,                0.97387,                0.97942,                0.97711,                0.75873,                0.89778,                0.50288,                 1.2519,             0.00044815,             0.00044815,             0.00044815
                     38,                0.93469,                 0.6549,                 1.1776,                0.97375,                0.98057,                0.97713,                0.75514,                0.91415,                0.50099,                 1.2622,             0.00043716,             0.00043716,             0.00043716
                     39,                0.92529,                0.62528,                 1.1728,                0.97561,                0.97766,                0.97735,                0.74744,                0.92432,                0.51604,                 1.2629,             0.00042616,             0.00042616,             0.00042616
                     40,                0.92068,                 0.6221,                 1.1777,                0.96924,                0.97944,                0.98099,                0.75773,                0.89778,                0.49115,                 1.2573,             0.00041517,             0.00041517,             0.00041517
                     41,                0.88937,                0.58471,                  1.157,                0.97178,                0.97794,                0.98237,                0.76598,                0.90764,                0.48779,                 1.2592,             0.00040417,             0.00040417,             0.00040417
                     42,                0.89382,                0.59997,                 1.1562,                0.97306,                0.97572,                0.97811,                0.75525,                0.91064,                0.50036,                 1.2562,             0.00039318,             0.00039318,             0.00039318
                     43,                0.91624,                0.60319,                 1.1624,                0.97911,                0.97787,                0.97756,                0.75971,                0.90434,                0.48356,                 1.2519,             0.00038218,             0.00038218,             0.00038218
                     44,                0.88027,                 0.6066,                 1.1571,                0.97982,                0.98032,                0.97944,                0.74922,                0.92342,                0.46735,                 1.2827,             0.00037118,             0.00037118,             0.00037118
                     45,                0.89206,                0.58341,                 1.1632,                0.98296,                0.97989,                0.98162,                0.76818,                0.89631,                 0.4696,                 1.2563,             0.00036019,             0.00036019,             0.00036019
                     46,                0.88683,                0.58146,                 1.1532,                0.98081,                0.97533,                0.97549,                0.75535,                0.90651,                0.49094,                 1.2707,             0.00034919,             0.00034919,             0.00034919
                     47,                0.90774,                0.58718,                 1.1755,                0.98087,                0.98109,                0.97734,                0.77569,                0.88013,                0.46438,                 1.2544,              0.0003382,              0.0003382,              0.0003382
                     48,                0.87878,                0.57674,                 1.1469,                0.97915,                0.98078,                 0.9773,                0.77114,                0.88196,                0.45335,                  1.247,              0.0003272,              0.0003272,              0.0003272
                     49,                 0.8897,                0.56824,                 1.1486,                0.96847,                0.98259,                0.97683,                0.76624,                 0.8727,                0.47272,                 1.2479,             0.00031621,             0.00031621,             0.00031621
                     50,                0.86813,                0.56725,                 1.1414,                0.97227,                0.97648,                0.97769,                0.76609,                0.86701,                 0.4596,                 1.2425,             0.00030521,             0.00030521,             0.00030521
                     51,                0.85717,                0.56029,                 1.1324,                 0.9792,                0.97696,                0.97638,                0.75734,                0.94179,                0.43466,                 1.2966,             0.00029422,             0.00029422,             0.00029422
                     52,                0.84772,                0.55619,                  1.125,                0.97964,                0.97797,                0.97535,                0.76883,                0.88919,                0.43231,                 1.2652,             0.00028322,             0.00028322,             0.00028322
                     53,                0.87099,                0.53491,                 1.1481,                0.97374,                0.97744,                0.97639,                0.76894,                0.90112,                0.46245,                 1.2676,             0.00027222,             0.00027222,             0.00027222
                     54,                0.85947,                0.53591,                 1.1335,                0.97804,                0.97692,                0.97935,                0.76705,                0.88532,                0.43742,                 1.2482,             0.00026123,             0.00026123,             0.00026123
                     55,                0.84209,                0.52632,                  1.131,                0.97699,                0.96794,                0.97944,                0.77261,                0.86742,                0.43763,                 1.2301,             0.00025023,             0.00025023,             0.00025023
                     56,                0.85155,                0.52591,                 1.1331,                0.98065,                0.97964,                0.97979,                0.77007,                0.88106,                0.43381,                 1.2378,             0.00023924,             0.00023924,             0.00023924
