                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.81577,                0.50912,                 1.1192,                0.97816,                0.98011,                0.97621,                0.77288,                0.87692,                0.43872,                 1.2469,             0.00022824,             0.00022824,             0.00022824
                     58,                 0.8407,                0.53132,                 1.1277,                0.97298,                0.97944,                0.97959,                0.77457,                0.87945,                 0.4377,                 1.2407,             0.00021725,             0.00021725,             0.00021725
                     59,                0.83633,                0.51738,                 1.1264,                0.97983,                0.98356,                0.98131,                 0.7816,                0.86312,                0.42372,                 1.2423,             0.00020625,             0.00020625,             0.00020625
                     60,                 0.8223,                0.49447,                 1.1334,                0.98073,                0.98531,                0.98009,                0.77893,                 0.8644,                0.41245,                 1.2332,             0.00019526,             0.00019526,             0.00019526
                     61,                0.82603,                0.50159,                 1.1159,                0.97909,                0.98478,                0.97919,                0.78018,                0.87104,                 0.4315,                 1.2302,             0.00018426,             0.00018426,             0.00018426
                     62,                0.80915,                0.50029,                 1.1034,                0.98199,                0.98517,                0.98214,                0.78471,                0.87047,                0.42459,                 1.2361,             0.00017326,             0.00017326,             0.00017326
                     63,                0.83401,                0.50813,                 1.1305,                0.97257,                0.97848,                0.98089,                 0.7778,                0.87737,                0.43013,                 1.2473,             0.00016227,             0.00016227,             0.00016227
                     64,                0.81185,                0.49117,                 1.1066,                 0.9746,                0.98772,                 0.9792,                 0.7829,                0.86494,                0.41935,                 1.2414,             0.00015127,             0.00015127,             0.00015127
                     65,                0.79101,                0.46476,                 1.1053,                 0.9753,                0.98519,                0.97996,                0.77836,                 0.8696,                0.42142,                 1.2383,             0.00014028,             0.00014028,             0.00014028
                     66,                 0.7261,                0.37136,                 1.1226,                0.97771,                0.98405,                 0.9784,                0.77618,                0.86909,                0.42783,                 1.2373,             0.00012928,             0.00012928,             0.00012928
                     67,                0.71593,                0.36102,                 1.1176,                0.98054,                0.98415,                0.97886,                0.77548,                0.86242,                0.41964,                 1.2329,             0.00011829,             0.00011829,             0.00011829
                     68,                 0.6969,                0.35475,                 1.1026,                0.97817,                0.97983,                0.98136,                0.78178,                0.85252,                0.40413,                 1.2317,             0.00010729,             0.00010729,             0.00010729
                     69,                0.71641,                0.35323,                 1.1101,                0.97905,                0.97696,                0.98237,                0.77799,                0.85241,                0.41433,                 1.2287,             9.6295e-05,             9.6295e-05,             9.6295e-05
                     70,                 0.6971,                0.34888,                 1.1193,                0.97519,                 0.9797,                0.98172,                 0.7844,                0.84255,                0.40972,                 1.2258,             8.5299e-05,             8.5299e-05,             8.5299e-05
                     71,                0.69492,                0.34362,                 1.1014,                0.98205,                0.98471,                0.98137,                0.78365,                0.84821,                0.41009,                 1.2273,             7.4304e-05,             7.4304e-05,             7.4304e-05
                     72,                0.68686,                0.34609,                 1.0978,                0.98117,                0.98389,                0.98156,                 0.7867,                0.83265,                0.39809,                 1.2179,             6.3308e-05,             6.3308e-05,             6.3308e-05
                     73,                0.67619,                0.33432,                 1.0935,                0.98022,                0.98293,                0.98255,                0.78557,                0.84212,                0.40547,                 1.2266,             5.2312e-05,             5.2312e-05,             5.2312e-05
                     74,                0.68168,                0.34131,                 1.0906,                0.97718,                0.98302,                0.98373,                0.78751,                0.84244,                0.40834,                 1.2225,             4.1317e-05,             4.1317e-05,             4.1317e-05
                     75,                0.68188,                0.34159,                  1.095,                 0.9781,                0.98361,                0.98328,                0.79093,                0.84624,                0.40391,                 1.2253,             3.0321e-05,             3.0321e-05,             3.0321e-05
