                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8773,                0.53475,                  1.085,                0.95541,                0.99668,                0.98489,                0.86858,                0.53342,                0.40669,                0.91531,             0.00091885,             0.00091885,             0.00091885
                     37,                0.83884,                0.51778,                  1.064,                0.95451,                0.97596,                 0.9779,                0.84275,                0.56701,                0.41317,                0.93081,             0.00089685,             0.00089685,             0.00089685
                     38,                0.84039,                0.51278,                 1.0514,                0.95206,                0.95349,                0.97764,                0.85604,                  0.544,                0.45032,                0.91479,             0.00087484,             0.00087484,             0.00087484
                     39,                0.85889,                 0.5125,                 1.0606,                0.95479,                      1,                0.98791,                 0.8584,                 0.5804,                0.40392,                0.92346,             0.00085284,             0.00085284,             0.00085284
                     40,                0.88655,                0.52534,                 1.0806,                0.95412,                      1,                 0.9877,                0.85824,                0.55741,                0.41851,                0.93297,             0.00083083,             0.00083083,             0.00083083
                     41,                 0.8384,                0.51287,                 1.0555,                0.95545,                0.99754,                0.97644,                0.85824,                 0.5901,                0.42677,                0.95905,             0.00080883,             0.00080883,             0.00080883
                     42,                0.81695,                0.49283,                 1.0513,                0.95481,                0.98282,                0.96744,                0.86303,                0.53439,                0.45788,                0.91988,             0.00078682,             0.00078682,             0.00078682
                     43,                0.78735,                0.47973,                 1.0379,                0.93419,                      1,                0.97685,                0.88181,                0.50978,                0.44301,                0.90411,             0.00076482,             0.00076482,             0.00076482
                     44,                  0.833,                0.48523,                  1.064,                  0.949,                      1,                0.98032,                0.86685,                0.60844,                0.44132,                0.96434,             0.00074282,             0.00074282,             0.00074282
                     45,                0.81392,                0.48995,                 1.0509,                 0.9545,                      1,                0.98061,                0.86019,                0.54603,                0.43153,                0.91815,             0.00072081,             0.00072081,             0.00072081
                     46,                 0.7901,                0.46809,                 1.0492,                0.95318,                      1,                0.98681,                0.88351,                0.47647,                 0.3919,                 0.8763,             0.00069881,             0.00069881,             0.00069881
                     47,                 0.8085,                 0.4838,                 1.0447,                0.95245,                      1,                0.98656,                0.89522,                0.52887,                0.37383,                0.89837,              0.0006768,              0.0006768,              0.0006768
                     48,                0.81848,                0.47237,                 1.0541,                0.93394,                      1,                0.98238,                0.87835,                0.50951,                 0.4011,                0.91611,              0.0006548,              0.0006548,              0.0006548
                     49,                 0.7967,                0.45669,                 1.0495,                0.97714,                0.99394,                0.98886,                0.89258,                 0.5257,                0.36863,                0.91353,             0.00063279,             0.00063279,             0.00063279
                     50,                0.78622,                0.44746,                 1.0239,                0.95236,                      1,                0.99155,                0.87905,                0.53826,                0.36909,                0.91189,             0.00061079,             0.00061079,             0.00061079
                     51,                0.76176,                0.45764,                 1.0222,                0.95546,                0.99777,                0.99037,                  0.889,                0.52763,                0.37036,                0.91019,             0.00058878,             0.00058878,             0.00058878
                     52,                0.83767,                0.47317,                 1.0661,                0.97018,                      1,                0.99136,                0.86311,                0.58637,                0.35728,                0.97122,             0.00056678,             0.00056678,             0.00056678
                     53,                0.77719,                0.45119,                 1.0246,                0.97383,                      1,                0.99205,                0.87115,                0.54426,                0.36325,                0.92763,             0.00054478,             0.00054478,             0.00054478
                     54,                0.76138,                  0.449,                 1.0264,                0.97597,                      1,                0.99045,                0.88175,                0.51356,                0.33443,                0.91342,             0.00052277,             0.00052277,             0.00052277
                     55,                0.73904,                0.43383,                 1.0171,                0.95515,                0.99072,                0.98473,                 0.8786,                 0.5064,                0.36358,                0.90409,             0.00050077,             0.00050077,             0.00050077
                     56,                0.78334,                0.45555,                 1.0491,                0.95406,                      1,                0.97868,                0.88057,                0.52508,                0.38701,                0.90448,             0.00047876,             0.00047876,             0.00047876
                     57,                0.75195,                0.43073,                 1.0249,                0.95445,                0.97457,                0.97112,                0.89949,                0.46602,                0.36991,                0.88473,             0.00045676,             0.00045676,             0.00045676
                     58,                  0.751,                0.44239,                  1.019,                 0.9554,                      1,                0.97185,                0.89236,                0.47263,                0.36394,                0.88351,             0.00043475,             0.00043475,             0.00043475
                     59,                 0.7519,                0.43664,                 1.0139,                0.92851,                      1,                0.97298,                0.89186,                0.44721,                0.35429,                0.87628,             0.00041275,             0.00041275,             0.00041275
                     60,                0.73629,                0.42806,                 1.0119,                0.97723,                 0.9979,                0.97864,                0.88631,                0.47128,                0.36177,                0.87163,             0.00039074,             0.00039074,             0.00039074
                     61,                0.74924,                0.42176,                 1.0316,                0.97723,                0.99807,                0.97932,                 0.8989,                0.44907,                0.33234,                0.88229,             0.00036874,             0.00036874,             0.00036874
                     62,                0.70741,                0.41741,                0.99118,                0.97429,                      1,                0.98568,                0.90213,                0.47408,                 0.3351,                0.90013,             0.00034674,             0.00034674,             0.00034674
                     63,                0.72482,                 0.4069,                 1.0032,                0.97381,                      1,                  0.985,                0.89657,                 0.4933,                 0.3171,                0.93292,             0.00032473,             0.00032473,             0.00032473
                     64,                0.71983,                0.40385,                 1.0076,                0.97124,                      1,                0.98818,                0.90829,                0.52675,                0.33264,                0.94246,             0.00030273,             0.00030273,             0.00030273
                     65,                 0.7176,                 0.3941,                  1.005,                0.95345,                      1,                0.98822,                 0.9097,                0.50338,                 0.3377,                0.92032,             0.00028072,             0.00028072,             0.00028072
                     66,                0.63122,                0.36694,                0.99197,                0.97358,                0.97674,                0.98876,                0.90586,                0.47746,                0.34017,                0.89117,             0.00025872,             0.00025872,             0.00025872
                     67,                0.61201,                0.35645,                0.99999,                0.95133,                0.97674,                0.98526,                0.91715,                0.44515,                0.33173,                0.87802,             0.00023671,             0.00023671,             0.00023671
                     68,                0.63676,                0.35112,                 0.9954,                0.95531,                0.99429,                 0.9883,                0.92374,                0.43314,                0.31678,                0.87225,             0.00021471,             0.00021471,             0.00021471
                     69,                0.61353,                0.34851,                 1.0062,                0.97708,                 0.9914,                0.98659,                0.91515,                0.43927,                0.30917,                0.87475,             0.00019271,             0.00019271,             0.00019271
                     70,                0.60185,                 0.3353,                0.98241,                0.94969,                      1,                0.98537,                0.91798,                0.44325,                0.30454,                0.88428,              0.0001707,              0.0001707,              0.0001707
                     71,                  0.603,                0.33763,                0.96849,                0.97718,                0.99603,                  0.985,                0.91153,                0.45877,                0.30141,                 0.8964,              0.0001487,              0.0001487,              0.0001487
                     72,                0.61696,                0.33609,                0.99049,                0.97707,                0.99119,                0.98455,                0.92109,                0.44126,                0.29526,                 0.8976,             0.00012669,             0.00012669,             0.00012669
                     73,                0.59522,                0.32542,                0.98205,                0.94892,                      1,                0.98225,                0.91525,                0.44044,                0.29885,                0.89915,             0.00010469,             0.00010469,             0.00010469
                     74,                0.57004,                0.31924,                0.94175,                0.94973,                      1,                0.98156,                0.90823,                0.43594,                0.30319,                0.88813,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     75,                 0.5811,                0.32159,                 0.9657,                0.95282,                      1,                0.98341,                0.91453,                0.43531,                0.29648,                0.88422,             6.0679e-05,             6.0679e-05,             6.0679e-05
